game,hype,team1,team2,shortDate,gameInfo,possessions,eFG,perDrama,conference1,conference2,conference,tournament
6189,4.188765236,San Diego St.,North Dakota St.,"Saturday, March 22, 2014",San Diego St. 63  North Dakota St. 44,54,0.423076923,0.0226,Mountain West,Summit League,0,1
6188,6.548748749,Louisville,Saint Louis,"Saturday, March 22, 2014",Louisville 66  Saint Louis 51,70,0.450980392,0.0136,American,A10,0,1
6187,5.912820513,Michigan,Texas,"Saturday, March 22, 2014",Michigan 79  Texas 65,57,0.482758621,0.0132,Big Ten,Big Twelve,0,1
6186,7.55235265,Connecticut,Villanova,"Saturday, March 22, 2014",Connecticut 77  Villanova 65,71,0.495145631,0.0312,American,Big East,0,1
6185,6.40657562,Michigan St.,Harvard,"Saturday, March 22, 2014",Michigan St. 80  Harvard 73,69,0.513636364,0.023,Big Ten,Ivy League,0,1
6184,8.62513343,Florida,Pittsburgh,"Saturday, March 22, 2014",Florida 61  Pittsburgh 45,55,0.444954128,0.0195,SEC,ACC,0,1
6183,6.948571429,Wisconsin,Oregon,"Saturday, March 22, 2014",Wisconsin 85  Oregon 77,65,0.573394495,0.0476,Big Ten,Pac Ten,0,1
6182,4.665833333,Dayton,Syracuse,"Saturday, March 22, 2014",Dayton 55  Syracuse 53,58,0.435,0.0538,A10,ACC,0,1
6181,1.397720798,California,Arkansas,"Monday, March 24, 2014",California 75  Arkansas 64,72,0.448,0.0108,Pac Ten,SEC,0,0
6179,1,San Diego,Sam Houston St.,"Saturday, March 22, 2014",San Diego 77  Sam Houston St. 72,65,0.594059406,0.0511,WCC,Southland,0,0
6178,1,Ohio,Wright St.,"Saturday, March 22, 2014",Ohio 56  Wright St. 54,66,0.41509434,0.0461,MAC,Horizon League,0,0
6177,1,Old Dominion,Radford,"Monday, March 24, 2014",Old Dominion 82  Radford 59,62,0.504545455,0.006,Conference USA,Big South,0,0
6176,1,Pacific,Texas A&M Corpus Chris,"Saturday, March 22, 2014",Pacific 89  Texas A&M Corpus Chris 60,63,0.595454545,0.0142,WCC,Southland,0,0
6174,1,Columbia,Eastern Michigan,"Saturday, March 22, 2014",Columbia 69  Eastern Michigan 56,58,0.526041667,0.0337,Ivy League,MAC,0,0
6173,1,VMI,IPFW,"Saturday, March 22, 2014",VMI 106  IPFW 95,82,0.592198582,0.0219,Big South,Summit League,0,0
6172,1,Yale,Holy Cross,"Saturday, March 22, 2014",Yale 71  Holy Cross 66,62,0.556122449,0.0444,Ivy League,Patriot League,0,0
6171,1,Towson,East Tennessee St.,"Friday, March 21, 2014",Towson 83  East Tennessee St. 77,69,0.511904762,0.0233,CAA,Atlantic Sun,0,0
6158,3.769032258,SMU,LSU,"Monday, March 24, 2014",SMU 80  LSU 67,67,0.583333333,0.0249,American,SEC,0,0
6154,4.679523069,Tennessee,Massachusetts,"Friday, March 21, 2014",Tennessee 86  Massachusetts 67,71,0.495901639,0.0073,SEC,A10,0,1
6153,1,Fresno St.,Princeton,"Monday, March 24, 2014",Fresno St. 72  Princeton 56,68,0.450819672,0.0262,Mountain West,Ivy League,0,0
6151,2.259432387,Louisiana Tech,Georgia,"Saturday, March 22, 2014",Louisiana Tech 79  Georgia 71,72,0.526785714,0.0119,Conference USA,SEC,0,0
6150,1.466434379,Southern Miss,Missouri,"Sunday, March 23, 2014",Southern Miss 71  Missouri 63,63,0.494845361,0.0335,Conference USA,SEC,0,0
6149,1,Illinois St.,Texas A&M,"Monday, March 24, 2014",Illinois St. 62  Texas A&M 55,64,0.425925926,0.0366,Missouri Valley,SEC,0,0
6146,2.465335552,Florida St.,Georgetown,"Monday, March 24, 2014",Florida St. 101  Georgetown 90,74,0.657142857,0.0142,ACC,Big East,0,0
6145,1,Siena,Penn St.,"Monday, March 24, 2014",Siena 54  Penn St. 52,63,0.399082569,0.0464,MAAC,Big Ten,0,0
6144,1.464583333,Minnesota,Saint Mary's,"Sunday, March 23, 2014",Minnesota 63  Saint Mary's 55,60,0.493902439,0.0337,Big Ten,WCC,0,0
